lsoa21cd,lsoa21nm,skater_label,redcap_label
E01003912,Southwark 019A,C,C
E01003923,Southwark 017A,C,C
E01003924,Southwark 021E,C,C
E01003925,Southwark 020E,C,C
E01003926,Southwark 021F,C,C
E01003936,Southwark 009A,C,B
E01003937,Southwark 009B,C,B
E01003938,Southwark 006A,C,B
E01003940,Southwark 006B,C,C
E01003941,Southwark 006C,C,C
E01003943,Southwark 009C,C,B
E01003954,Southwark 030B,D,D
E01003958,Southwark 032D,A,D
E01003963,Southwark 016A,C,C
E01003971,Southwark 015D,C,C
E01003972,Southwark 016D,C,C
E01003973,Southwark 016E,C,C
E01003975,Southwark 004A,C,C
E01003991,Southwark 017C,C,C
E01003992,Southwark 014A,C,C
E01003993,Southwark 017D,C,C
E01003995,Southwark 014B,C,C
E01003997,Southwark 017E,C,C
E01003998,Southwark 014D,C,C
E01004003,Southwark 023B,C,C
E01004007,Southwark 018E,C,C
E01004008,Southwark 022B,C,C
E01004019,Southwark 026C,D,D
E01004024,Southwark 011C,C,C
E01004036,Southwark 007E,C,C
E01004044,Southwark 013E,C,C
E01004045,Southwark 027A,D,D
E01004065,Southwark 025D,D,D
E01004071,Southwark 030D,D,D
E01032637,Southwark 035E,C,C
E01032638,Southwark 035D,C,C
E01032639,Southwark 014F,C,C
E01032640,Southwark 035B,C,C
E01032719,Southwark 014G,C,B
E01032803,Southwark 036C,C,B
E01032834,Southwark 035C,C,C
E01033870,Southwark 004G,C,C
E01033872,Southwark 004I,C,C
E01033874,Southwark 009H,C,C
E01033875,Southwark 012G,C,C
E01033876,Southwark 012H,C,C
E01033882,Southwark 022G,C,C
E01033883,Southwark 022H,C,C
E01033885,Southwark 036A,C,B
E01003911,Southwark 020A,C,C
E01003914,Southwark 024B,C,D
E01003915,Southwark 024C,C,C
E01003917,Southwark 020C,C,C
E01003922,Southwark 021D,C,C
E01003930,Southwark 034A,C,B
E01003942,Southwark 006D,C,C
E01003952,Southwark 030A,D,D
E01003955,Southwark 028B,D,D
E01003956,Southwark 030C,D,D
E01003960,Southwark 012A,C,C
E01003976,Southwark 036D,C,C
E01003977,Southwark 010A,C,C
E01003979,Southwark 006E,C,C
E01003980,Southwark 013A,C,C
E01003999,Southwark 014E,C,C
E01004010,Southwark 022D,C,C
E01004013,Southwark 019D,C,C
E01004014,Southwark 019E,C,C
E01004021,Southwark 028D,D,C
E01004023,Southwark 004D,C,C
E01004030,Southwark 007A,C,C
E01004032,Southwark 001B,C,C
E01004034,Southwark 007D,C,C
E01004037,Southwark 010B,C,C
E01004042,Southwark 010D,C,C
E01004043,Southwark 010E,C,C
E01004047,Southwark 027B,D,D
E01004051,Southwark 027E,D,D
E01004060,Southwark 008E,C,C
E01004066,Southwark 025E,C,C
E01032584,Southwark 034E,C,B
E01032646,Southwark 036B,C,B
E01033871,Southwark 004H,C,C
E01033877,Southwark 012I,C,C
E01033878,Southwark 015F,C,C
E01033879,Southwark 015G,C,C
E01003916,Southwark 020B,C,C
E01003918,Southwark 020D,C,C
E01003920,Southwark 021B,C,C
E01003932,Southwark 034B,C,B
E01003947,Southwark 033C,A,A
E01003957,Southwark 032C,A,D
E01003961,Southwark 012B,C,C
E01003990,Southwark 018D,C,C
E01003994,Southwark 012E,C,C
E01004001,Southwark 026B,D,D
E01004011,Southwark 019B,C,C
E01004012,Southwark 019C,C,C
E01004028,Southwark 004E,C,C
E01004039,Southwark 013B,C,C
E01004040,Southwark 013C,C,C
E01004049,Southwark 027D,D,D
E01004054,Southwark 001D,C,C
E01004055,Southwark 001E,C,C
E01033873,Southwark 009G,C,C
E01003913,Southwark 024A,C,D
E01003939,Southwark 002E,B,B
E01003966,Southwark 015B,C,C
E01003981,Southwark 006F,B,B
E01003983,Southwark 018A,C,C
E01004035,Southwark 011D,C,C
E01004041,Southwark 013D,C,C
E01004046,Southwark 028E,D,D
E01004050,Southwark 024D,C,D
E01004058,Southwark 008C,C,C
E01033868,Southwark 002G,C,B
E01033884,Southwark 035A,B,B
E01003921,Southwark 021C,C,C
E01003935,Southwark 002D,B,B
E01003986,Southwark 011A,C,C
E01003987,Southwark 011B,C,C
E01004002,Southwark 029A,D,A
E01004005,Southwark 023D,C,C
E01004006,Southwark 023E,C,D
E01004020,Southwark 029D,D,A
E01004029,Southwark 001A,C,C
E01004038,Southwark 010C,C,C
E01032583,Southwark 034D,C,B
E01033869,Southwark 004F,C,C
E01003984,Southwark 023A,C,C
E01004053,Southwark 001C,C,C
E01004067,Southwark 022E,C,C
E01033880,Southwark 015H,C,C
E01003919,Southwark 021A,C,C
E01003933,Southwark 034C,C,B
E01003953,Southwark 028A,D,D
E01004004,Southwark 023C,C,C
E01004068,Southwark 026E,C,C
E01004059,Southwark 008D,C,C
E01004056,Southwark 008A,C,C
E01033867,Southwark 002F,C,B
E01004033,Southwark 007C,C,C
E01003934,Southwark 002C,B,B
E01004063,Southwark 025C,D,D
E01004064,Southwark 026D,D,C
E01003949,Southwark 032A,A,A
E01003950,Southwark 032B,A,A
E01004000,Southwark 026A,D,D
E01004018,Southwark 032E,A,A
E01004074,Southwark 031D,D,D
E01004017,Southwark 029C,A,A
E01004072,Southwark 030E,D,D
E01003969,Southwark 017B,C,C
E01004073,Southwark 031C,D,D
E01033881,Southwark 016F,C,C
E01003989,Southwark 018C,C,C
E01004057,Southwark 008B,C,C
E01004048,Southwark 027C,D,D
E01004016,Southwark 029B,A,A
E01004061,Southwark 025A,D,D
E01003929,Southwark 002B,B,B
E01003948,Southwark 033D,A,A
E01003988,Southwark 018B,C,C
E01004015,Southwark 028C,D,D
E01004052,Southwark 024E,D,D
E01004062,Southwark 025B,D,C
E01004031,Southwark 007B,C,C
E01004070,Southwark 031B,D,D
E01004075,Southwark 031E,A,D
E01004069,Southwark 031A,A,D
E01003946,Southwark 033B,A,A
E01003945,Southwark 033A,A,A
E01003951,Southwark 033E,A,A
